# Thumb Tracking Data
# thumb_tip_x, thumb_tip_y, thumb_tip_z
0.013227, 0.088873, 0.038773
0.011918, 0.083261, 0.046940
0.011918, 0.083261, 0.046940
0.010241, 0.082429, 0.047684
0.010241, 0.082429, 0.047684
0.010304, 0.088144, 0.041175
0.008598, 0.087337, 0.043880
0.010011, 0.079130, 0.055539
0.007393, 0.086052, 0.040222
0.008446, 0.086108, 0.039061
0.008446, 0.086108, 0.039061
0.007674, 0.084025, 0.037903
0.007674, 0.084025, 0.037903
0.009519, 0.085126, 0.035128
0.008644, 0.087716, 0.033839
0.009828, 0.086991, 0.034467
0.009828, 0.086991, 0.034467
0.009828, 0.086991, 0.034467
0.009818, 0.085804, 0.037096
0.011495, 0.084498, 0.036998
0.011495, 0.084498, 0.036998
0.010997, 0.085900, 0.037097
0.011800, 0.086174, 0.035886
0.011800, 0.086174, 0.035886
0.011423, 0.086285, 0.034896
0.011423, 0.086285, 0.034896
0.009967, 0.086382, 0.038445
0.009210, 0.085556, 0.038003
0.010365, 0.085373, 0.036405
0.009733, 0.085649, 0.032217
0.009781, 0.085887, 0.032560
0.009781, 0.085887, 0.032560
0.009638, 0.083586, 0.033045
0.009638, 0.083586, 0.033045
0.002722, 0.084199, 0.037193
0.004290, 0.086020, 0.025893
0.004290, 0.086020, 0.025893
0.003662, 0.086332, 0.048548
0.003662, 0.086332, 0.048548
0.010740, 0.079988, 0.048717
0.011738, 0.079621, 0.049476
0.011738, 0.079621, 0.049476
0.010971, 0.081066, 0.047740
0.010971, 0.081066, 0.047740
0.002138, 0.079564, 0.050421
-0.012791, 0.076952, 0.030782
-0.012791, 0.076952, 0.030782
-0.017723, 0.075560, 0.027562
-0.015071, 0.074737, 0.027648
-0.015071, 0.074737, 0.027648
-0.016594, 0.075993, 0.026398
-0.016594, 0.075993, 0.026398
-0.015368, 0.075083, 0.033707
-0.015335, 0.075836, 0.032198
-0.015335, 0.075836, 0.032198
-0.015713, 0.074012, 0.035670
